#0_Luo2014-1,1_Luo2014-2,2_Jin2013-1,3_Jin2013-2,4_Jin2014-1,5_Jin2014-2,6_Meng2014a-1,7_Li2013-1,8_Li2013-2,9_Margazzi2012-1,10_Saponaro2014-1,11_Saponaro2014-2,12_Fong2014-1,13_Fong2014-2,14_Danko2015-1,15_Danko2015-2,16_Andersson2014-1,17_Andersson2014-2,18_Core2014-1,19_Core2014-2,20_Allen2014-1,21_Allen2014-2,22_Sigova2013-1,23_Sigova2013-2,24_Gardini2014-1,25_Gardini2014-2,26_Wang2013-1,27_Wang2013-2,28_Yang2014-1,29_Yang2014-2,30_Hah2013-1,31_Hah2013-2,32_Duttke2015-1,33_Duttke2015-2,34_Puc2015-1,35_Puc2015-2,36_Le2013-1,37_Core2008-1,38_Core2008-2
1930.0,1991.0,1425.0,1414.0,415.0,406.0,1724.0,1110.0,1045.0,1338.0,1209.0,1078.0,112.0,125.0,4641.0,25444.0,1422.0,1585.0,2930.0,1764.0,2233.0,2414.0,2171.0,2070.0,815.0,1331.0,2293.0,1853.0,442.0,589.0,1492.0,1490.0,430.0,413.0,536.0,505.0,877.0,1231.0,1239.0
2393.0,2545.0,1667.0,1609.0,441.0,413.0,904.0,1075.0,1085.0,1653.0,1141.0,1057.0,116.0,134.0,1329.0,1422.0,15159.0,4382.0,1842.0,1409.0,2364.0,2519.0,1642.0,1730.0,1482.0,2456.0,1383.0,1116.0,420.0,540.0,1819.0,1781.0,850.0,803.0,511.0,475.0,973.0,1507.0,1500.0
2960.0,3325.0,2097.0,2002.0,464.0,455.0,1002.0,1063.0,1101.0,1928.0,1079.0,1001.0,102.0,119.0,1464.0,1585.0,4382.0,13000.0,2177.0,1509.0,2870.0,3016.0,1643.0,1515.0,1732.0,3046.0,1377.0,1280.0,502.0,617.0,1732.0,1846.0,944.0,887.0,565.0,532.0,1015.0,1503.0,1490.0
2586.0,2414.0,1939.0,1907.0,441.0,458.0,1113.0,1143.0,1143.0,1671.0,1266.0,1025.0,82.0,98.0,2260.0,2930.0,1842.0,2177.0,23260.0,5891.0,2892.0,3032.0,2305.0,2134.0,1095.0,2057.0,1863.0,1504.0,484.0,636.0,1422.0,1493.0,452.0,435.0,616.0,579.0,688.0,1347.0,1356.0
1685.0,1588.0,1310.0,1290.0,398.0,395.0,882.0,1011.0,983.0,1285.0,992.0,885.0,76.0,102.0,1448.0,1764.0,1409.0,1509.0,5891.0,10154.0,1743.0,1886.0,1661.0,1596.0,885.0,1417.0,1429.0,1124.0,432.0,548.0,1179.0,1164.0,429.0,409.0,532.0,501.0,659.0,1187.0,1170.0
3292.0,3252.0,2688.0,2501.0,591.0,576.0,1093.0,1309.0,1351.0,2388.0,1440.0,1405.0,112.0,137.0,1788.0,2233.0,2364.0,2870.0,2892.0,1743.0,12807.0,9273.0,2282.0,2157.0,1501.0,2880.0,1560.0,1294.0,558.0,732.0,1610.0,1668.0,655.0,644.0,668.0,613.0,892.0,1417.0,1405.0
3413.0,3422.0,2773.0,2621.0,630.0,604.0,1177.0,1448.0,1453.0,2530.0,1485.0,1483.0,137.0,156.0,1874.0,2414.0,2519.0,3016.0,3032.0,1886.0,9273.0,14230.0,2453.0,2348.0,1544.0,2985.0,1708.0,1376.0,601.0,767.0,1695.0,1754.0,679.0,654.0,706.0,642.0,970.0,1472.0,1489.0
2009.0,2020.0,1572.0,1558.0,507.0,502.0,1087.0,1307.0,1288.0,1538.0,1404.0,1353.0,109.0,123.0,1672.0,2171.0,1642.0,1643.0,2305.0,1661.0,2282.0,2453.0,17046.0,7239.0,937.0,1461.0,1639.0,1371.0,542.0,666.0,3055.0,3085.0,500.0,467.0,617.0,571.0,1247.0,1329.0,1356.0
2003.0,1931.0,1470.0,1437.0,444.0,441.0,1027.0,1262.0,1241.0,1413.0,1371.0,1338.0,99.0,108.0,1627.0,2070.0,1730.0,1515.0,2134.0,1596.0,2157.0,2348.0,7239.0,19466.0,861.0,1403.0,1587.0,1310.0,454.0,606.0,3119.0,2993.0,480.0,477.0,553.0,538.0,1245.0,1304.0,1321.0
1289.0,1299.0,1589.0,1592.0,1011.0,819.0,528.0,1730.0,1576.0,1129.0,964.0,897.0,379.0,379.0,821.0,815.0,1482.0,1732.0,1095.0,885.0,1501.0,1544.0,937.0,861.0,8701.0,3659.0,773.0,659.0,887.0,929.0,848.0,862.0,808.0,748.0,705.0,652.0,547.0,974.0,1003.0
